Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Australia,13445370,13581470,13717560,13852320,13984720,14128840,14297380,14466970,14643100,14822340,14944520,15065240,15179770,15299750,15419330,15594370,15771300,15961770,16150390,16321850,16518750,16716050,16890250,2.35E+07
Other,3866400,3880950,3912430,3971640,4240260,4294410,4310430,4345550,4385870,4452480,4550840,4655610,4753130,4877270,5031900,5233480,5478220,5730090,5881620,6018410,6209810,6410180,6600750,
,,,,,,,,,0.2727272727,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,
MAR,0,0,0,0,1230,1290,1320,1350,1380,1360,1400,1470,1510,1560,1610,1670,1700,1750,1800,1870,1910,2020,2110,30310
ABW,0,0,0,0,60,60,60,60,60,50,60,60,60,60,60,60,60,60,60,60,60,60,70,1140
AFG,0,0,0,0,7170,8190,9210,10890,12580,13860,14600,15770,17020,18620,21980,24500,26430,28500,30850,32970,34510,36540,39790,403980
AGO,0,0,0,0,390,410,420,430,420,410,430,440,440,450,460,490,510,520,530,530,540,550,560,8930
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,160
ALB,0,0,0,0,1200,1290,1390,1450,1530,1620,1690,2060,2180,2270,2410,2500,2610,2760,2890,2950,3050,3200,3330,42380
AND,0,0,0,0,10,10,20,30,30,20,20,30,30,30,30,20,30,30,30,20,20,20,20,450
ARE,0,0,0,0,970,1060,1140,1270,1390,1540,1790,2150,2420,2800,3320,3750,4280,4810,5240,5570,6030,6510,7240,63280
ARG,12640,12460,12240,12160,12140,12130,12080,12080,12020,12030,12120,12310,12660,13090,13480,13510,13580,13570,13730,13800,13980,14470,15200,297480
ARM,0,0,0,0,910,930,950,970,990,980,980,1040,1090,1110,1120,1140,1170,1180,1200,1220,1260,1300,1330,20870
ASM,0,0,0,0,90,110,110,120,140,150,170,180,190,200,200,210,230,240,270,290,340,400,420,4060
ATG,0,0,0,0,20,30,30,30,30,30,30,30,40,30,30,40,40,40,40,50,50,50,50,690
AUT,22090,22190,22290,22460,22710,22400,22140,21870,21640,21330,21220,21150,21080,21040,20950,20800,20670,20440,20160,19800,19520,19310,19240,486500
AZE,0,0,0,0,100,120,140,170,190,200,230,250,290,310,310,330,340,380,420,460,480,520,580,5820
BDI,0,0,0,0,30,30,30,20,30,30,30,50,100,430,820,1280,1520,1720,1860,1940,2010,2070,2170,16170
BEL,0,0,0,0,5080,5180,5240,5270,5320,5370,5480,5620,5700,5800,5910,6130,6300,6380,6520,6690,7040,7390,7810,114230
BEN,0,0,0,0,10,20,20,30,30,30,30,30,30,30,30,40,60,70,80,90,90,100,100,920
BFA,0,0,0,0,10,10,10,10,20,20,20,20,20,20,30,30,40,40,50,50,50,50,50,550
BGD,0,0,0,0,5660,6540,6780,7370,8500,9790,11110,12520,14090,16120,18510,21460,24110,26800,29550,31620,33870,36160,37950,358510
BGR,0,0,0,0,2600,2730,2820,2950,3020,3110,3240,3300,3360,3440,3450,3530,3550,3600,3610,3620,3660,3750,3870,63210
BHR,0,0,0,0,670,730,780,790,780,760,830,910,980,1080,1150,1200,1240,1320,1340,1440,1480,1560,1620,20660
BHS,0,0,0,0,230,260,270,270,270,240,250,250,270,270,280,270,280,280,280,280,300,300,300,5150
BIH,0,0,0,0,20560,24960,27260,28560,28650,28780,31590,34000,36220,38400,40580,40500,40240,39930,39720,39430,39300,39060,38930,656670
BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,1270,1300,1310,1350,1360,1360,1430,1490,1520,1600,1720,1750,1760,1820,1840,1870,1910,1950,2030,30640
BLZ,0,0,0,0,40,40,50,50,50,50,60,60,60,60,60,60,60,60,70,70,70,70,80,1120
BMU,0,0,0,0,380,390,410,400,410,420,440,450,460,470,470,470,490,510,520,530,550,550,560,8880
BOL,0,0,0,0,610,630,640,670,700,700,720,750,760,770,780,800,840,840,860,900,940,980,1000,14890
BRA,0,0,0,0,3690,3870,4090,4420,4750,5120,5580,6160,6710,7530,8500,10930,13790,15700,16550,17070,18220,19510,22050,194240
BRB,0,0,0,0,360,360,390,390,370,360,360,380,380,380,390,400,420,420,430,430,430,450,460,7560
BRN,0,0,0,0,1900,2060,2060,2080,2100,2150,2240,2360,2470,2570,2640,2760,2950,3020,3040,3020,2990,3040,3180,48630
BTN,0,0,0,0,50,50,60,60,70,80,90,110,120,130,140,200,260,960,1700,2680,3360,3890,4790,18800
BWA,0,0,0,0,260,390,520,600,660,760,770,840,900,960,1040,1040,1100,1110,1120,1130,1160,1220,1260,16840
CAF,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,10,20,20,20,20,20,30,30,200
CAN,26420,26350,26610,27080,27970,28680,29290,29630,30240,31020,32260,33660,34850,36250,38220,39860,41820,43200,44530,46220,47980,49480,50940,822560
CHE,9530,9750,10080,10450,11050,11450,11690,11900,12050,12240,12410,12680,12820,13060,13480,13580,13740,13910,14030,14250,14440,14730,15720,289040
CHI,93890,97000,100300,105110,194600,206800,210010,215190,220110,227290,245470,264760,283510,307450,333330,360630,396340,429410,457020,473420,487950,511540,541790,6762920
CHL,28070,27560,27180,26950,26850,26590,26440,26300,26080,25910,26110,26360,26590,26870,27190,27500,27770,28100,28280,28520,28830,29110,29760,628920
CIV,0,0,0,0,40,50,60,60,70,70,80,80,90,200,220,290,350,400,480,500,540,560,600,4740
CMR,0,0,0,0,30,50,50,60,70,70,80,100,120,130,150,160,190,220,270,320,350,380,400,3200
COD,0,0,0,0,330,330,340,340,310,270,290,300,320,360,630,1170,1650,1930,2470,2850,3330,3620,4080,24920
COG,0,0,0,0,20,80,90,110,130,170,180,210,380,710,660,780,820,930,1030,1120,1280,1310,1310,11320
COK,0,0,0,0,3220,3710,3980,4320,4600,4960,5150,5260,5360,5450,5610,5820,6090,6420,6630,6940,7310,7710,7840,106380
COL,0,0,0,0,2870,3150,3350,3650,4000,4500,4780,5120,5420,5810,6230,7570,9330,11220,12410,13040,14340,15640,15990,148420
COM,0,0,0,0,0,20,30,30,30,30,10,20,20,20,20,20,20,20,20,20,20,20,20,390
CRI,0,0,0,0,350,350,360,350,350,350,360,360,370,380,390,400,420,420,430,450,470,450,490,7500
CUB,0,0,0,0,500,500,490,500,510,510,540,560,590,610,640,670,710,720,750,760,810,860,880,12110
CUW,0,0,0,0,90,90,90,90,90,90,90,100,110,110,110,110,120,110,120,120,120,120,130,2010
CYM,0,0,0,0,10,10,10,20,10,10,30,30,30,40,40,40,50,60,80,90,100,110,120,890
CYP,23150,23060,23120,23170,23310,23300,23200,23030,22810,22710,22680,22620,22560,22450,22360,22050,21810,21580,21350,21150,21010,20880,20780,514140
CZE,0,0,0,0,13700,13460,13290,13170,13110,13070,13260,13460,13590,13710,13910,13960,13840,13660,13620,13450,13440,13560,13680,256940
DEU,121790,121370,121260,121390,121910,121550,120720,119860,119040,118340,119470,120680,121790,123010,124710,125780,126450,126420,126260,125750,125820,126060,129040,2828470
DJI,0,0,0,0,80,70,80,90,90,80,90,100,100,120,120,120,120,130,130,150,170,180,180,2200
DMA,0,0,0,0,10,20,20,20,20,20,20,20,20,30,20,30,30,30,30,40,40,40,40,500
DNK,9360,9440,9560,9670,9740,9820,9920,9920,9910,10020,10130,10250,10340,10480,10610,10650,10640,10590,10620,10640,10770,10890,11180,235150
DOM,0,0,0,0,50,60,60,70,70,70,80,90,100,110,110,120,130,130,140,160,160,160,180,2050
DZA,0,0,0,0,870,940,1000,1090,1170,1250,1280,1300,1330,1330,1330,1340,1360,1370,1380,1400,1420,1480,1530,24170
ECU,0,0,0,0,1390,1410,1440,1450,1460,1460,1500,1530,1580,1650,1740,1760,1810,1870,1930,2000,2070,2240,2540,32830
EGY,39130,39000,38790,38700,38610,38570,38140,37890,37590,37420,37450,37760,38130,38730,39370,40120,40930,41420,41830,42090,42590,43500,43890,911650
ERI,0,0,0,0,1330,1550,1550,1710,1780,1780,1980,2100,2230,2280,2390,2540,2680,2860,3090,3260,3540,3680,3900,46230
ESH,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,10,10,10,10,10,10,10,10,120
ESP,14510,14400,14460,14570,14710,14550,14500,14350,14170,14120,14170,14220,14260,14320,14430,14550,14570,14680,14890,15320,16170,17180,17950,341050
EST,2640,2600,2560,2490,2440,2320,2170,2070,1970,1860,1830,1770,1720,1670,1610,1650,1700,2000,2240,2440,2790,3350,3910,51800
ETH,0,0,0,0,2620,3030,3190,3480,3640,3820,4290,4940,5620,6110,6390,6980,7460,8200,8970,9630,10470,10970,11590,121400
FIN,9320,9310,9350,9360,9420,9480,9490,9460,9420,9360,9370,9430,9430,9490,9600,9560,9560,9530,9520,9520,9570,9610,9820,217980
FJI,36090,36690,37650,39140,40940,42910,43470,44810,46690,49070,50720,52360,53460,54780,56350,57990,60100,62200,63960,65470,67100,68620,69940,1200510
FLK,0,0,0,0,120,130,130,130,120,130,130,120,120,120,120,130,120,120,130,130,130,120,120,2370
FRA,14950,14950,15320,15900,16500,16920,17280,17790,18110,18400,19010,19710,20380,21120,22020,23560,25170,26920,28110,29770,32280,35380,39950,509500
FRO,0,0,0,0,30,40,30,40,40,40,30,50,40,40,40,40,40,40,50,40,40,50,40,760
FSM,0,0,0,0,10,20,20,20,20,20,20,30,30,30,20,20,20,10,30,20,30,30,30,430
FYR,0,0,0,0,49660,49720,49690,49750,49560,49730,50210,50700,51040,51320,51660,51610,51650,51570,51470,51140,50950,50760,50610,962800
GAB,0,0,0,0,20,20,20,20,20,20,20,20,20,20,30,30,30,40,40,30,30,40,40,510
GBR,0,0,0,0,23030,22820,22710,22530,22190,21950,21990,22530,22550,22890,23280,24190,25040,25980,26330,27320,29100,30480,30740,467650
GEO,0,0,0,0,190,210,220,240,290,360,380,380,390,400,410,450,460,470,490,510,550,590,630,7620
GGY,0,0,0,0,590,590,590,590,590,590,580,610,630,650,630,660,690,720,720,760,810,860,890,12750
GHA,0,0,0,0,1680,1850,1920,2070,2160,2250,2340,2480,2650,2820,3150,3440,3690,3920,4210,4440,4780,5130,5370,60350
GIB,0,0,0,0,450,450,460,480,480,480,490,500,490,490,480,470,480,480,480,480,490,500,500,9130
GIN,0,0,0,0,20,20,20,30,30,40,50,80,90,230,300,410,490,540,670,720,790,830,880,6240
GLP,0,0,0,0,10,10,10,20,10,10,20,20,20,20,20,20,20,20,10,20,30,40,50,380
GMB,0,0,0,0,10,30,30,40,30,30,50,70,70,80,90,90,100,100,100,110,110,120,130,1390
GNB,0,0,0,0,10,20,20,20,10,10,20,30,20,20,10,10,10,10,10,20,20,20,20,310
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,20,10,10,20,130
GRC,142610,141170,139920,138760,138080,136820,135030,132900,130780,128690,128870,129040,129020,129010,128980,127510,125780,124160,122510,121180,121160,121130,119950,2993060
GRD,0,0,0,0,100,110,120,130,130,130,130,130,120,120,130,130,140,120,120,130,140,140,140,2410
GRL,0,0,0,0,20,20,20,30,30,30,30,30,30,30,40,30,30,30,30,30,30,40,40,570
GTM,0,0,0,0,270,290,300,310,310,310,340,340,350,350,360,370,400,410,410,430,450,470,500,6970
GUF,0,0,0,0,0,10,0,0,0,10,10,10,0,0,10,10,10,10,10,10,10,20,20,150
GUM,0,0,0,0,30,50,50,50,50,60,60,60,70,80,90,90,90,90,100,100,110,110,110,1450
GUY,0,0,0,0,520,540,520,520,520,530,530,550,570,570,570,580,590,600,600,610,610,600,600,10730
HND,0,0,0,0,170,190,190,190,190,180,200,220,230,230,220,230,240,240,240,240,250,260,290,4200
HRV,0,0,0,0,57640,57730,57650,58030,58220,58690,61920,64740,67160,69500,71800,71110,70240,69370,68490,67580,66770,66090,65420,1228150
HTI,0,0,0,0,70,80,90,90,90,90,90,100,100,100,110,110,110,110,100,100,120,110,120,1890
HUN,28020,27920,27850,27820,27750,27420,26950,26520,26120,25640,25300,24950,24630,24340,24040,23730,23440,23180,22850,22420,22190,22040,21700,576820
IDN,37630,38890,40810,44290,49020,51420,53110,55810,58660,53090,57410,59620,60260,60250,60540,61940,65070,68570,71170,73060,74940,77030,81140,1353730
IMN,0,0,0,0,720,720,720,720,710,690,710,710,730,750,770,790,820,850,890,890,760,500,420,13870
IND,67340,69540,71890,75990,80480,83280,84730,86330,90680,98070,108270,119420,132790,148960,169720,204440,251200,307590,329500,337120,354130,374980,397180,4043630
IRL,0,0,0,0,53850,53600,53460,53470,53580,53640,53890,54390,55020,55700,56790,58450,62180,67990,70980,78620,90780,95880,93180,1215450
IRN,16920,17750,18290,18680,19260,19920,20440,20650,21360,22260,23090,24310,25370,26720,28110,30220,31790,34020,36470,39640,43320,47670,50370,636630
IRQ,0,0,0,0,16400,20280,22420,24380,26480,28480,30020,33860,35490,37100,39500,42070,44580,49000,51830,54980,56910,59980,63860,737620
ISL,0,0,0,0,400,470,510,550,560,590,610,630,670,670,670,690,690,710,700,710,700,700,730,11960
ISR,7420,7290,7150,7120,7110,7090,7230,7330,7380,7510,7760,8100,8440,8950,9440,9890,10300,10500,10700,10840,11030,11270,11740,201590
ITA,261090,258370,255640,252950,250370,246410,242460,238330,234040,229850,227710,225360,222950,220550,218040,214970,211270,208130,204690,201690,199900,200180,201830,5226780
JAM,0,0,0,0,900,900,920,940,920,940,950,960,970,1000,1030,1050,1060,1070,1090,1150,1150,1170,1190,19360
JEY,0,0,0,0,1010,1020,1010,1010,1010,1000,1000,1040,1070,1120,1090,1120,1150,1200,1240,1300,1370,1450,1490,21700
JOR,0,0,0,0,2980,3210,3260,3390,3480,3620,3730,3870,4000,4160,4310,4520,4820,5070,5250,5440,5680,6020,6300,83110
JPN,20940,21470,22320,23750,25280,24690,24800,25010,25290,25690,27380,29190,31050,33110,35380,37840,39030,39850,40250,41390,43220,45970,54830,737730
KAZ,0,0,0,0,190,260,300,320,390,480,500,540,600,670,770,840,960,1080,1190,1310,1470,1600,1750,15220
KEN,0,0,0,0,6070,6250,6420,6880,7190,7630,8290,9140,9870,10850,11640,12700,13570,14540,15380,15870,16400,17080,17620,213390
KGZ,0,0,0,0,30,50,60,80,100,110,130,170,210,240,240,270,300,330,360,400,410,440,460,4390
KHM,19880,20210,21100,22600,24080,25120,25290,25210,24970,25100,25660,26430,26930,27610,28350,29100,29750,30600,31720,32510,33450,34200,35000,624870
KIR,0,0,0,0,410,430,450,450,440,430,450,460,480,490,490,500,530,560,610,600,600,620,640,9640
KOR,22830,24220,25830,27910,30470,31430,33010,34490,36180,38990,41510,44380,47210,51150,55950,64710,73780,81350,84150,85930,89710,95160,102220,1222570
KSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1120,1390,1410,1440,1440,7160
KWT,0,0,0,0,1740,1880,2050,2190,2510,2630,2710,2910,3040,3120,3320,3480,3660,3970,4320,4720,5230,5530,5720,64730
